clmn1,clmn2,clmn3,clmn4,clmn5,clmn6,clmn7,clmn8,clmn9,clmn10,clmn11,clmn12,clmn13,clmn14,clmn15,clmn16,clmn17,clmn18,clmn19,clmn20,clmn21,clmn22,clmn23,clmn24,lbl,Out_num
5,11,7.532706153,437.5,2,1,525.0,525.0,300.0,4.0,700.0,0.02,1,0,0,0,0,0,1,0,0,0,0,1,True,0.0001666456
3,5,3.629943975,450.0,1,2,525.0,312.5,300.0,3.0,500.0,0.04,0,0,0,1,0,0,1,0,0,0,0,1,False,0.0224834615249999
0,13,2.63288925,625.0,1,4,362.5,487.5,200.0,4.0,500.0,0.03,0,0,1,0,0,0,0,1,0,1,0,0,False,0.002715092575
0,1,3.203463785,600.0,8,3,612.5,462.5,100.0,1.0,100.0,0.04,0,0,1,0,0,0,0,1,0,0,1,0,True,1.092e-08
0,8,6.235113118,487.5,9,4,525.0,400.0,400.0,3.0,700.0,0.02,0,1,0,0,0,1,0,0,0,1,0,0,False,0.001111384175
8,1,6.975270894,487.5,5,8,312.5,362.5,400.0,4.0,800.0,0.005,0,1,0,0,0,0,0,1,0,1,0,0,False,0.0055156459625
0,7,3.108023175,462.5,1,1,462.5,587.5,300.0,4.0,800.0,0.025,1,0,0,0,0,0,0,1,0,0,1,0,True,8.31e-08
13,5,2.176471845,550.0,2,2,437.5,425.0,400.0,3.0,800.0,0.035,1,0,0,0,0,1,0,0,0,1,0,0,True,4.52e-09
9,0,4.116156705,537.5,1,2,487.5,625.0,200.0,4.0,700.0,0.03,0,0,0,1,0,0,0,1,0,1,0,0,False,0.025684855625
8,3,5.196340623,362.5,1,4,450.0,575.0,300.0,3.0,700.0,0.025,0,0,1,0,1,0,0,0,0,1,0,0,False,0.017332521
7,11,2.505409655,512.5,2,1,487.5,387.5,300.0,4.0,900.0,0.005,0,0,1,0,0,0,1,0,0,0,1,0,False,0.01632907125
13,8,2.040949317,450.0,6,6,362.5,475.0,300.0,2.0,600.0,0.045,0,1,0,0,0,0,1,0,0,0,0,1,True,9.685e-07
9,6,3.104083125,325.0,3,2,475.0,400.0,300.0,4.0,1000.0,0.045,0,1,0,0,0,0,1,0,1,0,0,0,True,0.0005755386
3,13,0.419604295,387.5,1,4,562.5,337.5,200.0,1.0,200.0,0.05,0,0,1,0,0,0,1,0,0,0,0,1,True,1.16725e-07
2,9,1.043112064,625.0,6,6,350.0,337.5,300.0,3.0,800.0,0.05,1,0,0,0,1,0,0,0,1,0,0,0,True,6.53225e-09
13,7,1.84700381,387.5,2,3,600.0,625.0,300.0,3.0,800.0,0.02,0,0,0,1,0,0,0,1,0,0,0,1,False,0.01229810175
6,13,2.433751795,337.5,3,6,312.5,575.0,300.0,3.0,500.0,0.045,0,0,0,1,1,0,0,0,1,0,0,0,False,0.0131355393
10,11,7.165793223,400.0,2,2,450.0,462.5,200.0,4.0,700.0,0.025,0,0,0,1,0,1,0,0,0,1,0,0,False,0.0417591537
6,8,2.414793207,550.0,4,5,462.5,512.5,300.0,2.0,500.0,0.03,0,0,0,1,1,0,0,0,0,0,0,1,False,0.007297868175
11,9,1.075491383,587.5,2,5,437.5,512.5,200.0,3.0,500.0,0.04,0,0,0,1,0,0,0,1,1,0,0,0,False,0.005901246225
0,10,5.993063304,450.0,2,2,375.0,375.0,400.0,5.0,1200.0,0.035,1,0,0,0,0,1,0,0,0,0,1,0,True,0.000776748
4,13,1.162741612,312.5,1,1,487.5,612.5,400.0,2.0,700.0,0.035,0,0,0,1,0,0,0,1,1,0,0,0,False,0.0115017784
6,5,1.272509729,587.5,9,3,562.5,362.5,200.0,2.0,300.0,0.05,0,0,0,1,0,0,0,1,1,0,0,0,False,0.0012208362
0,7,3.852190703,487.5,1,8,325.0,350.0,300.0,4.0,800.0,0.005,1,0,0,0,1,0,0,0,0,1,0,0,True,9.38875e-07
2,1,2.303791193,412.5,5,5,550.0,625.0,100.0,3.0,300.0,0.02,0,0,1,0,0,0,0,1,1,0,0,0,True,9.665315e-05
9,6,2.000566042,600.0,6,2,387.5,550.0,300.0,3.0,700.0,0.015,0,1,0,0,0,0,0,1,0,0,0,1,True,2.0375e-06
5,7,3.397768818,487.5,2,1,312.5,600.0,300.0,3.0,600.0,0.035,0,0,0,1,1,0,0,0,0,0,1,0,False,0.020998198
10,0,4.724639867,412.5,1,4,337.5,375.0,200.0,5.0,800.0,0.01,0,0,0,1,1,0,0,0,0,1,0,0,False,0.033399790125
5,7,1.076621098,312.5,3,4,325.0,387.5,300.0,3.0,600.0,0.035,0,1,0,0,1,0,0,0,1,0,0,0,True,2.132e-08
8,3,1.253292916,412.5,3,5,450.0,537.5,300.0,3.0,600.0,0.01,0,0,1,0,0,0,0,1,1,0,0,0,False,0.001329189875
13,6,0.36434842,487.5,6,8,462.5,550.0,300.0,2.0,500.0,0.01,0,0,0,1,0,1,0,0,0,0,0,1,False,0.0020953283
13,7,2.467777834,412.5,6,7,587.5,450.0,300.0,2.0,600.0,0.04,0,0,1,0,0,1,0,0,1,0,0,0,False,0.00543375
13,8,0.762294735,487.5,5,1,550.0,475.0,300.0,2.0,500.0,0.04,0,0,0,1,0,1,0,0,0,0,1,0,False,0.0049862715
4,12,3.611627953,537.5,1,5,425.0,525.0,300.0,3.0,800.0,0.04,0,0,0,1,0,0,1,0,1,0,0,0,False,0.042010857
3,7,3.673072229,400.0,3,9,512.5,437.5,300.0,3.0,600.0,0.025,0,1,0,0,0,0,0,1,0,0,1,0,True,1.221e-05
1,10,2.437568616,375.0,3,1,525.0,312.5,300.0,5.0,1100.0,0.05,1,0,0,0,0,0,1,0,1,0,0,0,True,1.943e-06
4,7,0.029994501,462.5,5,9,612.5,350.0,300.0,1.0,300.0,0.03,0,0,0,1,0,1,0,0,0,0,0,1,True,0.0001276327
1,12,7.046176625,550.0,2,1,462.5,600.0,200.0,4.0,600.0,0.04,0,0,1,0,0,0,1,0,0,0,1,0,False,0.04449679815
6,10,9.606412958,312.5,3,1,387.5,475.0,300.0,5.0,1000.0,0.045,0,1,0,0,0,1,0,0,1,0,0,0,False,0.0449113873
13,5,4.589902374,625.0,1,5,375.0,325.0,400.0,3.0,800.0,0.02,0,1,0,0,0,1,0,0,0,0,1,0,True,0.0004162785
5,3,2.425727015,350.0,3,3,625.0,550.0,200.0,3.0,400.0,0.03,0,1,0,0,0,0,0,1,0,1,0,0,True,2.0800000000000003e-09
13,1,3.684836637,412.5,2,5,312.5,312.5,300.0,3.0,600.0,0.025,0,0,0,1,0,1,0,0,0,1,0,0,False,0.0164219541
9,12,0.119057404,600.0,5,8,437.5,437.5,200.0,1.0,200.0,0.05,0,1,0,0,0,1,0,0,0,0,0,1,True,5.37225e-28
12,3,1.08251772,600.0,1,1,425.0,412.5,200.0,3.0,600.0,0.02,0,0,0,1,0,0,1,0,0,1,0,0,False,0.00564319415
7,13,1.726615555,362.5,4,1,612.5,412.5,400.0,3.0,1000.0,0.03,1,0,0,0,0,0,0,1,1,0,0,0,True,3.03225e-08
0,8,1.445903912,475.0,4,2,437.5,387.5,400.0,3.0,700.0,0.02,0,0,1,0,0,0,1,0,1,0,0,0,False,0.002923162275
0,13,2.198886775,587.5,2,2,500.0,537.5,300.0,4.0,700.0,0.045,0,1,0,0,0,0,0,1,0,0,0,1,True,8.06e-06
7,1,1.077012446,587.5,5,3,375.0,350.0,300.0,4.0,800.0,0.035,0,0,1,0,0,1,0,0,0,1,0,0,False,0.0045702568
7,13,3.148789811,412.5,2,1,437.5,525.0,400.0,3.0,1000.0,0.03,0,1,0,0,0,0,0,1,0,0,0,1,True,0.0003058302
5,3,1.251151444,437.5,1,6,475.0,600.0,200.0,3.0,400.0,0.02,1,0,0,0,0,0,0,1,1,0,0,0,True,2.47775e-09
10,6,5.18482387,450.0,1,6,475.0,462.5,300.0,4.0,1000.0,0.005,1,0,0,0,0,0,1,0,0,0,0,1,True,0.000107763425
